31150,13390,1
58981,7348,1
51999,55121,1
25689,49126,1
31591,84621,1
55800,25990,1
61000,13430,-1
25493,49550,-1
29791,16794,-1
13899,49752,1
33958,53767,1
57999,54668,1
27292,27100,-1
28989,49234,1
41588,18137,-1
32797,80825,1
23169,47205,1
62998,3758,1
23444,64062,1
17980,47337,1
29446,62598,1
16485,168092,1
32367,18142,1
41900,33585,1
28459,30020,1
35980,81870,-1
38200,21338,1
30989,57116,1
37000,17313,1
31988,32441,1
39602,18443,1
40888,18645,-1
28500,82539,1
34809,36286,1
40888,19918,1
24992,48367,1
35389,67321,1
30683,52941,1
55100,49630,1
56500,4121,1
18900,49549,1
52988,105776,1
42500,15757,1
30486,28543,1
37729,20501,1
27191,50325,1
21898,50902,1
30995,23263,1
38811,33342,1
27750,56960,1
19999,33178,-1
38950,32825,1
22900,25189,1
18992,74460,1
23891,68350,1
14391,88057,1
18995,45968,1
11995,110209,-1
47134,34722,1
17486,114073,1
34664,49732,1
43500,596,1
41488,35217,-1
38994,13013,1
39800,29894,1
16995,62879,1
14999,150432,1
35802,5462,1
9995,76322,1
27998,24899,1
27885,71502,1
41900,23935,-1
47990,30289,1
37139,34358,1
32987,45830,1
44995,20423,-1
37800,60423,1
21400,91140,1
55990,14789,1
26490,90730,1
25706,55043,1
17995,105875,1
31900,41960,1
47990,15994,1
43900,27478,1
13990,76947,1
29229,68814,1
36888,52686,1
21997,88398,-1
23950,23341,1
39835,31471,1
36991,22640,1
31995,85179,1
40552,34973,1
37997,14968,1
44987,65178,1
24500,36162,1
36356,49714,-1
32953,53673,-1
26999,26500,-1
18998,134389,-1
17900,122000,1
31988,61239,1
19995,160778,1
26245,46789,1
29744,17094,1
39786,15729,1
32339,41261,1
23995,15883,1
26492,29899,1
24992,26076,1
34354,46042,1
21905,47369,1
34962,13144,1
25995,10493,1
18490,29990,1
35490,13313,-1
27399,34746,-1
26999,25803,-1
36929,60450,1
38995,25987,1
24990,43819,-1
54885,5404,1
34980,33373,1
32874,81089,-1
21998,50151,-1
7525,166589,1
39539,34414,1
39015,11988,1
38482,50988,-1
26873,67884,1
34000,6108,-1
44073,38908,1
17888,130540,1
24399,47951,1
17600,147827,1
24308,32770,1
56998,9954,1
38099,58811,1
22965,75228,-1
40947,21481,1
37950,41335,1
26987,46200,1
30791,19010,-1
39973,48373,1
39997,28717,1
31525,31284,1
50550,18752,1
46288,38092,1
36650,49800,1
28500,18766,1
37998,55953,-1
19999,34610,1
20490,12068,1
22880,22689,1
21713,67000,-1
38048,81015,1
40999,43395,1
48995,3466,-1
20998,105708,1
29715,42954,1
37100,63325,1
27988,30453,1
20995,48937,-1
32995,9653,1
28744,14897,1
38909,63301,1
38996,12298,1
24595,60084,1
41455,23102,1
24995,70400,1
18998,118634,-1
32998,25738,1
47500,33576,1
47494,39728,-1
14900,152511,1
34798,37955,1
29135,16911,1
33427,58490,1
21990,147033,1
12000,64108,1
12680,91839,1
13985,114163,-1
19995,15680,1
20248,73648,-1
39998,62500,-1
43998,16592,1
32739,25517,-1
36990,56100,1
36500,68705,1
27995,30351,1
47974,19878,1
40950,53814,-1
31112,29837,1
53957,18149,1
40256,62057,1
18221,79686,1
38990,4810,1
26397,48973,1
7994,149506,1
29398,65059,1
27999,35008,1
36891,21973,-1
27980,42919,1
47480,15223,1
39474,34975,-1
44777,19482,1
42315,35428,1
25785,38750,1
29890,27989,1
50992,16408,1
39361,37957,1
31700,14736,1
39398,88252,-1
49784,17484,-1
28982,35102,1
31499,12489,1
19966,38310,-1
39424,34502,1
40500,11707,1
44786,20147,-1
35094,78694,1
28795,28633,1
29495,21384,1
38999,48827,1
26994,47500,1
41900,31967,1
26319,39923,1
38000,36868,1
33874,15405,1
52895,12086,-1
44900,34824,1
23699,13089,1
28415,35473,1
23690,48188,1
33991,31237,1
38200,35367,-1
33494,44818,1
35457,21617,1
14335,109590,1
29688,88542,1
9499,220022,-1
33487,57631,1
25992,23105,1
20290,20214,1
29998,22253,1
47541,19511,1
21950,51936,1
19634,64726,1
41680,56757,1
25408,31149,1
40995,47766,1
54790,16444,-1
27894,44129,1
18999,61192,-1
21277,45208,1
46296,16238,1
31990,48031,1
21499,73248,1
25500,81700,-1
22491,98011,-1
19075,47452,1
31999,30041,1
60995,3977,1
25475,14718,1
16888,62467,1
22591,69240,1
31682,47584,-1
20000,109001,-1
30740,83011,1
38159,60101,1
25156,10020,-1
32995,18810,1
49701,8930,1
49158,48642,-1
27895,13941,1
16995,49284,1
14280,105761,1
18998,58601,1
21900,30221,1
49998,18655,1
30642,22201,1
41995,57308,-1
10260,232537,-1
38691,21011,1
46550,17475,1
61991,12133,1
21499,63480,1
37990,35700,1
27975,47027,1
55999,14687,1
42713,34505,1
14485,173723,1
6995,175149,1
50191,2918,1
39987,62599,-1
38981,15559,1
29995,16785,-1
27955,14344,-1
31000,13944,1
51990,14145,1
28898,20065,-1
29950,63516,-1
18771,110856,1
38487,38345,1
21991,152640,-1
17993,110930,1
33991,37672,1
38972,43899,1
