Price($),Milage,Badge
21277,45208,Great Deal 
46296,16238,Good Deal
31990,48031,Great Deal
21499,73248,Good Deal
25500,81700,Fair Deal
22491,98011,Fair Deal
19075,47452,Great Deal 
31999,30041,Good Deal
60995,3977,Great Deal
25475,14718,Good Deal
16888,62467,Good Deal 
22591,69240,Good Deal
31682,47584,Fair Deal
20000,109001,Fair Deal
30740,83011,Good Deal 
38159,60101,Good Deal
25156,10020,Fair Deal
32995,18810,Good Deal
49701,8930,Good Deal
49158,48642,Fair Deal
27895,13941,Good Deal
16995,49284,Good Deal
14280,105761,Good Deal
18998,58601,Good Deal
21900,30221,Good Deal
49998,18655,Good Deal
30642,22201,Good Deal
41995,57308,Fair Deal
10260,232537,Fair Deal
38691,21011,Good Deal
46550,17475,Good Deal 
61991,12133,Great Deal
21499,63480,Good Deal 
37990,35700,Good Deal
27975,47027,Good Deal
55999,14687,Good Deal
42713,34505,Good Deal
14485,173723,Good Deal
6995,175149,Good Deal
50191,2918,Good Deal
39987,62599,Fair Deal
38981,15559,Great Deal
29995,16785,Fair Deal
27955,14344,Fair Deal
31000,13944,Great Deal 
51990,14145,Good Deal 
28898,20065,Fair Deal
29950,63516,Fair Deal
18771,110856,Good Deal
38487,38345,Good Deal
21991,152640,Fair Deal
17993,110930,Good Deal
33991,37672,Great Deal
38972,43899,Good Deal
35200,14863,Good Deal
23982,48111,Good Deal 
9995,218460,Great Deal
29984,31788,Great Deal 
44125,45194,Good Deal
23999,46983,Great Deal 
36000,19959,Good Deal 
25999,25141,Good Deal
27595,21370,Good Deal 
38790,31634,Fair Deal
54975,85527,Great Deal 
43345,33022,Good Deal
33591,30020,Good Deal
28991,66778,Fair Deal
23377,104806,Good Deal
15000,76077,Great Deal 
45500,17424,Good Deal
43987,39512,Good Deal
28995,111355,Good Deal
21995,49039,Good Deal 
41950,14795,Fair Deal
32508,20319,Good Deal
25689,37886,Good Deal
20989,92839,Good Deal
39199,91857,Good Deal 
28999,21903,Fair Deal
19599,66030,Fair Deal
37999,30126,Good Deal
37523,31331,Good Deal
22995,35000,Good Deal
29990,16199,Great Deal 
26581,55197,Great Deal 
29992,37508,Good Deal 
51995,19656,Good Deal
16995,144797,Great Deal 
44363,18603,Great Deal
40000,16037,Good Deal 
49944,19331,Good Deal
35788,49397,Good Deal
19992,46099,Good Deal
18500,34396,Good Deal
15500,111023,Good Deal
28991,26254,Good Deal 
23595,58888,Fair Deal
35450,32591,Good Deal
27530,36107,Good Deal
26999,37825,Great Deal 
26999,57222,Good Deal 
39999,35772,Great Deal
44999,35580,Fair Deal
22950,19279,Good Deal 
27908,86749,Fair Deal
39624,12430,Fair Deal
29243,48048,Good Deal
17757,107458,Great Deal
41853,19001,Fair Deal
31981,29470,Good Deal
26995,19703,Great Deal 
26998,39115,Good Deal
20490,18241,Great Deal 
24988,58513,Fair Deal
45991,21605,Good Deal
30000,40754,Good Deal
24490,63301,Great Deal 
16900,39000,Great Deal 
41451,15000,Good Deal
37991,76054,Fair Deal
40998,26080,Good Deal
38992,26522,Good Deal
15000,81186,Fair Deal
26994,30562,Great Deal 
30864,12906,Good Deal
26431,68672,Good Deal 
20987,50271,Great Deal 
26392,45225,Good Deal
37999,27553,Good Deal
46445,31819,Great Deal 
32500,49867,Good Deal
31995,42610,Good Deal
19991,92511,Fair Deal
19996,33179,Good Deal
20936,118015,Fair Deal
28995,18730,Good Deal
23244,65109,Good Deal
13788,95230,Good Deal
26715,21501,Good Deal 
26990,33504,Fair Deal
29446,60378,Good Deal
44988,18005,Fair Deal
5999,205324,Great Deal 
31000,19374,Great Deal 
25695,41826,Fair Deal
18422,88929,Good Deal
30899,48174,Great Deal
38884,13905,Good Deal 
38260,11337,Good Deal
29555,14272,Good Deal
36988,42510,Good Deal
39028,22255,Good Deal
30675,15078,Good Deal
47790,41131,Fair Deal
33892,12625,Good Deal
29525,47781,Good Deal 
50000,23017,Good Deal 
29999,45414,Good Deal
34992,89672,Good Deal 
51922,17032,Fair Deal
38777,50434,Good Deal
45991,42778,Good Deal 
37551,21728,Good Deal
28987,39523,Good Deal
27616,34595,Good Deal
25599,13812,Good Deal
26500,82942,Good Deal
28141,39034,Good Deal
37985,10969,Good Deal
23412,82031,Good Deal
34571,66693,Good Deal 
29744,34770,Good Deal 
41781,52538,Good Deal
41257,20866,Good Deal
20908,16784,Good Deal
27228,35862,Good Deal 
30500,51096,Great Deal 
22995,80430,Good Deal
22601,46575,Fair Deal
27495,32624,Good Deal 
26639,39141,Fair Deal
28977,62899,Good Deal
25999,96559,Great Deal 
21500,90733,Fair Deal
47899,7468,Good Deal
35999,27192,Fair Deal
46637,24344,Fair Deal
44990,12289,Good Deal
37492,15236,Fair Deal
34999,11341,Good Deal
35800,86366,Fair Deal
29658,30397,Good Deal
47985,810,Fair Deal
28995,42141,Fair Deal
39950,65627,Fair Deal
24545,266178,Good Deal
28520,38956,Fair Deal
24854,30671,Good Deal
23995,34089,Good Deal 
21784,69121,Good Deal
30488,45227,Good Deal
44992,21350,Good Deal
49477,30699,Fair Deal
28900,35102,Fair Deal
28490,86098,Fair Deal
28540,30352,Good Deal
26681,55463,Good Deal
21179,47999,Good Deal
40982,84161,Fair Deal
49259,13340,Fair Deal
37981,14218,Great Deal 
37000,25964,Good Deal
35990,33473,Good Deal 
33750,14491,Fair Deal
41990,24384,Good Deal
54223,18503,Good Deal
33846,12932,Good Deal
47466,24014,Good Deal
45995,48983,Fair Deal
25887,16432,Great Deal 
26984,26768,Fair Deal
44888,23790,Good Deal
38311,34292,Good Deal
32999,70971,Good Deal
34818,60565,Fair Deal
23588,33656,Good Deal
34999,62166,Fair Deal
28499,44318,Good Deal
22982,15885,Good Deal
24998,53569,Fair Deal
24124,15768,Good Deal
9890,116025,Good Deal
52480,16429,Fair Deal
58942,12615,Good Deal
20389,49113,Good Deal
41996,43402,Good Deal
19977,76908,Good Deal
31688,31804,Fair Deal
34900,19065,Good Deal
6600,242684,Great Deal 
29988,31417,Good Deal
24995,36881,Great Deal 
36998,81197,Fair Deal
40795,19407,Good Deal
39708,60069,Fair Deal
49795,4613,Fair Deal
45991,37173,Fair Deal
41467,49674,Good Deal
28308,23250,Good Deal 
28139,18503,Fair Deal
29800,33460,Great Deal 
20167,36961,Fair Deal
41131,26826,Good Deal
37993,46602,Good Deal 
24995,87826,Fair Deal
24991,21252,Good Deal
40890,18315,Good Deal
24999,19229,Good Deal
25999,17703,Good Deal
47999,20103,Good Deal
28999,26409,Great Deal 
39392,32581,Fair Deal
27491,18761,Good Deal
29282,21902,Good Deal
24888,62638,Great Deal 
45995,15637,Good Deal
21500,33976,Good Deal
24980,34433,Good Deal
34000,27271,Good Deal 
24998,62669,Great Deal 
32477,17337,Good Deal
58369,24674,Fair Deal
23995,16511,Good Deal
37500,46425,Good Deal 
30555,36981,Good Deal
28991,31558,Fair Deal
40247,10058,Good Deal
32645,28321,Good Deal
30374,46420,Good Deal
30998,26770,Fair Deal
50598,16659,Fair Deal
42991,44834,Good Deal
42333,36003,Fair Deal
28500,84440,Great Deal 
34455,2881,Good Deal 
19490,37043,Good Deal
38000,82497,Fair Deal
30328,82756,Good Deal
37688,21935,Fair Deal
18994,74421,Fair Deal
24398,75057,Good Deal 
32419,50925,Good Deal
27590,30741,Good Deal
14499,69264,Great Deal 
34623,17781,Fair Deal
30896,31813,Good Deal
36588,85241,Good Deal
28739,38919,Good Deal
25900,14657,Good Deal
14995,119564,Good Deal
28995,67152,Fair Deal
33991,43722,Fair Deal
20997,4832,Good Deal
27951,17289,Good Deal
39999,15362,Good Deal 
27495,39194,Good Deal
25989,46101,Good Deal
38990,38703,Good Deal 
36874,11040,Good Deal
26978,45947,Great Deal 
34888,21334,Fair Deal
28995,31863,Good Deal 
57998,11342,Good Deal
20990,37264,Fair Deal
21487,17782,Fair Deal
33495,39303,Good Deal
17990,10825,Great Deal 
42302,35717,Fair Deal
29995,53012,Good Deal
21982,111001,Great Deal 
34888,11310,Fair Deal
32505,27123,Fair Deal
44376,47077,Fair Deal
34985,42106,Good Deal
37981,32293,Good Deal
46690,33122,Fair Deal
9995,258855,Great Deal
27100,15390,Fair Deal
25699,29556,Good Deal
21490,30710,Good Deal
9195,99525,Good Deal
28616,17498,Good Deal
34391,71731,Good Deal
25348,45016,Fair Deal
